荷载(KN),横向位移,竖向位移,应变1,应变2
1.19575,0.0115752,0.0101791,-1.16E-05,-1.03E-05
2.45299,0.0244706,0.0208813,-2.39E-05,-2.12E-05
4.32013,0.044156,0.0367749,-4.21E-05,-3.73E-05
7.07719,0.074456,0.0602428,-6.91E-05,-6.09E-05
11.1097,0.121638,0.0945658,-1.09E-04,-9.53E-05
16.9115,0.196257,0.143946,-1.66E-04,-1.44E-04
25.0176,0.316459,0.212938,-2.47E-04,-2.12E-04
35.7606,0.513277,0.304388,-3.56E-04,-3.00E-04
48.7768,0.836454,0.415284,-4.92E-04,-4.00E-04
62.6595,1.35647,0.533908,-6.05E-04,-4.70E-04
75.5912,2.16667,0.645458,-7.62E-04,-5.46E-04
86.4124,3.39998,0.741606,-9.21E-04,-5.81E-04
88.8401,5.29442,0.778874,-1.05E-03,-5.20E-04
88.5501,5.47812,0.778531,-1.08E-03,-5.05E-04
87.6741,5.95491,0.777805,-1.09E-03,-4.79E-04
86.812,6.43077,0.77767,-1.10E-03,-4.52E-04
85.5527,7.14477,0.778622,-1.12E-03,-4.13E-04
83.0526,8.25899,0.779029,-1.13E-03,-3.19E-04
79.7881,9.65597,0.784285,-1.13E-03,-2.26E-04
76.7729,11.1039,0.7975,-1.14E-03,-8.98E-05
73.891,12.7043,0.817656,-1.14E-03,1.96E-05
71.1793,14.2633,0.83953,-1.14E-03,6.84E-05
68.6646,15.7991,0.867942,-1.14E-03,7.79E-05
66.2802,17.3845,0.903961,-1.14E-03,9.21E-05
