作用,竖向位移,横向位移,应变1,应变2,荷载(KN)
最小值,0,0,-0.0012,-0.0007,0
最大值,1,20,0,0.0002,100
间隔,11,11,7,10,11
小数点,1,0,4,4,0
数据,0.0101791,0.0115752,-1.16E-05,-1.03E-05,1.19575
数据,0.0208813,0.0244706,-2.39E-05,-2.12E-05,2.45299
数据,0.0367749,0.044156,-4.21E-05,-3.73E-05,4.32013
数据,0.0602428,0.074456,-6.91E-05,-6.09E-05,7.07719
数据,0.0945658,0.121638,-1.09E-04,-9.53E-05,11.1097
数据,0.143946,0.196257,-1.66E-04,-1.44E-04,16.9115
数据,0.212938,0.316459,-2.47E-04,-2.12E-04,25.0176
数据,0.304388,0.513277,-3.56E-04,-3.00E-04,35.7606
数据,0.415284,0.836454,-4.92E-04,-4.00E-04,48.7768
数据,0.533908,1.35647,-6.05E-04,-4.70E-04,62.6595
数据,0.645458,2.16667,-7.62E-04,-5.46E-04,75.5912
数据,0.741606,3.39998,-9.21E-04,-5.81E-04,86.4124
数据,0.778874,5.29442,-1.05E-03,-5.20E-04,88.8401
数据,0.778531,5.47812,-1.08E-03,-5.05E-04,88.5501
数据,0.777805,5.95491,-1.09E-03,-4.79E-04,87.6741
数据,0.77767,6.43077,-1.10E-03,-4.52E-04,86.812
数据,0.778622,7.14477,-1.12E-03,-4.13E-04,85.5527
数据,0.779029,8.25899,-1.13E-03,-3.19E-04,83.0526
数据,0.784285,9.65597,-1.13E-03,-2.26E-04,79.7881
数据,0.7975,11.1039,-1.14E-03,-8.98E-05,76.7729
数据,0.817656,12.7043,-1.14E-03,1.96E-05,73.891
数据,0.83953,14.2633,-1.14E-03,6.84E-05,71.1793
数据,0.867942,15.7991,-1.14E-03,7.79E-05,68.6646
数据,0.903961,17.3845,-1.14E-03,9.21E-05,66.2802
